name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
EPIC 249893012 b,1048.0,11.429,Super Earth,2020,8.75,Earth,1.95,Earth,0.047,0.009856262,0.06,Transit
EPIC 249893012 c,1048.0,11.429,Neptune-like,2020,14.67,Earth,0.327,Jupiter,0.13,0.042710472,0.07,Transit
EPIC 249893012 d,1048.0,11.429,Neptune-like,2020,10.18,Earth,0.352,Jupiter,0.22,0.097741276,0.15,Transit
Epsilon Coronae Borealis b,228.0,4.12577,Gas Giant,2012,6.7,Jupiter,1.13,Jupiter,1.3,1.1441479,0.11,Radial Velocity
Epsilon Eridani b,10.0,3.71548,Gas Giant,2000,0.66,Jupiter,1.25,Jupiter,3.53,7.3,0.07,Radial Velocity
Epsilon Indi A b,12.0,4.69,Gas Giant,2019,3.25,Jupiter,1.17,Jupiter,11.55,45.2,0.26,Radial Velocity
Epsilon Tauri b,155.0,3.523,Gas Giant,2006,7.6,Jupiter,1.13,Jupiter,1.93,1.6,0.15,Radial Velocity
FU Tauri b,435.0,,Gas Giant,2008,16.0,Jupiter,1.09,Jupiter,800.0,101250.8,0.0,Direct Imaging
G 264-012 b,52.0,13.078,Super Earth,2021,2.5,Earth,1.39,Earth,0.02279,0.0062970566,0.0,Radial Velocity
G 264-012 c,52.0,13.078,Super Earth,2021,3.75,Earth,1.76,Earth,0.0525,0.022176592,0.0,Radial Velocity
G 9-40 b,91.0,13.821,Super Earth,2019,4.76,Earth,2.025,Earth,0.0385,0.015605749,0.0,Transit
Gaia-1 b,1186.0,13.242,Gas Giant,2022,1.68,Jupiter,1.229,Jupiter,0.04047,0.008487337,0.0,Transit
Gaia-2 b,683.0,11.277,Gas Giant,2022,0.817,Jupiter,1.322,Jupiter,0.0467,0.010130048,0.0,Transit
gam1 Leonis b,130.0,1.99509,Gas Giant,2009,8.78,Jupiter,1.12,Jupiter,1.19,1.173169,0.14,Radial Velocity
Gamma Cephei b,46.0,3.23006,Gas Giant,2003,9.4,Jupiter,1.12,Jupiter,2.05,2.5,0.05,Radial Velocity
Gamma Librae b,155.0,3.90672,Gas Giant,2018,1.02,Jupiter,1.23,Jupiter,1.24,1.1367557,0.21,Radial Velocity
Gamma Librae c,155.0,3.90672,Gas Giant,2018,4.58,Jupiter,1.15,Jupiter,2.17,2.6,0.06,Radial Velocity
Gamma Piscium b,135.0,3.69252,Gas Giant,2021,1.34,Jupiter,1.22,Jupiter,1.32,1.5,0.2,Radial Velocity
GJ 1002 b,16.0,13.76,Super Earth,2022,1.08,Earth,1.03,Earth,0.0457,0.028199865,0.0,Radial Velocity
GJ 1002 c,16.0,13.76,Super Earth,2022,1.36,Earth,1.1,Earth,0.0738,0.05804244,0.0,Radial Velocity
GJ 1061 b,12.0,12.7,Super Earth,2020,1.37,Earth,1.1,Earth,0.021,0.008761123,0.31,Radial Velocity
GJ 1061 c,12.0,12.7,Super Earth,2020,1.74,Earth,1.18,Earth,0.035,0.0183436,0.29,Radial Velocity
GJ 1061 d,12.0,12.7,Super Earth,2020,1.64,Earth,1.16,Earth,0.054,0.03559206,0.53,Radial Velocity
GJ 1132 b,41.0,13.68,Super Earth,2015,1.66,Earth,1.13,Earth,0.0153,0.0043805614,0.22,Transit
